iter	Logloss
0	0.6732917312
1	0.656560301
2	0.641921691
3	0.628083292
4	0.6162259595
5	0.6046821272
6	0.5926770971
7	0.582074449
8	0.5761537598
9	0.5636659361
10	0.5551963702
11	0.5488240416
12	0.5428691262
13	0.5322136387
14	0.5270885977
15	0.5217670727
16	0.5160658792
17	0.5141359353
18	0.5061628314
19	0.5029115558
20	0.497326701
21	0.4903340921
22	0.4854889255
23	0.4834584487
24	0.4780930304
25	0.4745712534
26	0.4720411856
27	0.4709830701
28	0.4658490261
29	0.4635837784
30	0.4601683755
31	0.4563005413
32	0.4507084215
33	0.4455845294
34	0.4430258808
35	0.4418154236
36	0.4368990898
37	0.4323356196
38	0.4313072418
39	0.4279686777
40	0.4254871235
41	0.4213541342
42	0.4205168681
43	0.4195568473
44	0.4191476692
45	0.4171326289
46	0.4131919151
47	0.4097155717
48	0.4057026114
49	0.403643459
50	0.4024977001
51	0.4004848847
52	0.3981934485
53	0.3977208566
54	0.3957133707
55	0.3951092781
56	0.3930108024
57	0.3903912374
58	0.3873778586
59	0.3840359019
60	0.3830944828
61	0.3809922056
62	0.3790529897
63	0.3771562469
64	0.3731440355
65	0.3714656472
66	0.3699963928
67	0.3675598047
68	0.3657789151
69	0.3623984385
70	0.3605087019
71	0.358715985
72	0.3570568277
73	0.3545536516
74	0.3513275756
75	0.3493172509
76	0.3461982935
77	0.345536385
78	0.3423020547
79	0.3420204705
80	0.3393724076
81	0.3382282294
82	0.3360790232
83	0.3354707966
84	0.3340565858
85	0.332235653
86	0.3311329716
87	0.329391402
88	0.3284745167
89	0.3270205165
90	0.3243192221
91	0.3232767403
92	0.3209286644
93	0.319234679
94	0.3175655015
95	0.3159800958
96	0.3151651544
97	0.3139120738
98	0.3126321415
99	0.3113206499
100	0.3099502956
101	0.3092151737
102	0.3076862725
103	0.3070335975
104	0.3064668206
105	0.3037286225
106	0.3022968821
107	0.3007850385
108	0.3003374047
109	0.2992634196
110	0.2963790801
111	0.2950021626
112	0.2934949049
113	0.2919451651
114	0.2909160566
115	0.2906445531
116	0.2893023826
117	0.2890070406
118	0.2887454055
119	0.2871844004
120	0.2857623713
121	0.2839572058
122	0.2831408397
123	0.2818153171
124	0.2795195301
125	0.2785449861
126	0.2781859299
127	0.2769478681
128	0.2759220954
129	0.27499329
130	0.2747301674
131	0.274277983
132	0.2736403103
133	0.27291179
134	0.2714958932
135	0.2713562864
136	0.2703776302
137	0.2697317314
138	0.2687660651
139	0.2673972456
140	0.2657743385
141	0.2645818558
142	0.2633937147
143	0.262525747
144	0.2615184194
145	0.2612156763
146	0.2610025895
147	0.2607138335
148	0.2597764008
149	0.2595578833
150	0.2584717096
151	0.2575347656
152	0.2572185453
153	0.255449269
154	0.2543155159
155	0.2541228285
156	0.2528016992
157	0.2523559915
158	0.2512513528
159	0.250788526
160	0.2498363756
161	0.2497877424
162	0.2481364398
163	0.2474819037
164	0.2471440808
165	0.2467267152
166	0.2459676619
167	0.2446753654
168	0.2439361317
169	0.2436535789
170	0.2428589349
171	0.2423050014
172	0.2422993647
173	0.2412680661
174	0.2401553655
175	0.2394850354
176	0.2391049732
177	0.2382924476
178	0.2374963999
179	0.2368475689
180	0.2359650494
181	0.2345906242
182	0.2345298887
183	0.2336264169
184	0.2329842975
185	0.2317611594
186	0.2313248109
187	0.2307403841
188	0.2302233423
189	0.2297855713
190	0.2291680894
191	0.2286980244
192	0.2273589449
193	0.2260423468
194	0.2247067646
195	0.2243789401
196	0.2230045655
197	0.2225717295
198	0.2216181374
199	0.2211015126
200	0.2201839552
201	0.2198293139
202	0.2192640463
203	0.2189763194
204	0.2181061099
205	0.2176056504
206	0.2173348696
207	0.2162488792
208	0.2152796672
209	0.214486363
210	0.2130312917
211	0.2119199156
212	0.2112635633
213	0.2108858736
214	0.209704849
215	0.208938807
216	0.2079748873
217	0.2073274665
218	0.2065014794
219	0.2048706218
220	0.2043347182
221	0.2031369477
222	0.2023956254
223	0.2014512521
224	0.2012837765
225	0.200675288
226	0.200118074
227	0.1988092788
228	0.1978962826
229	0.1969529747
230	0.1958670461
231	0.1951445707
232	0.1941856067
233	0.1937619961
234	0.1922155489
235	0.1912466889
236	0.190163644
237	0.1891779008
238	0.1886168692
239	0.1873822826
240	0.1869805244
241	0.186230209
242	0.1851271183
243	0.1848518663
244	0.1840940465
245	0.1834688698
246	0.1819773717
247	0.1811549588
248	0.1803657845
249	0.1797109377
250	0.1790899023
251	0.1785228419
252	0.1774715783
253	0.1757841666
254	0.174911757
255	0.1741475711
256	0.1730759861
257	0.1721582922
258	0.1716256365
259	0.170361474
260	0.1696354226
261	0.1685709385
262	0.1676545904
263	0.166781734
264	0.1661613859
265	0.16565174
266	0.1650205518
267	0.1641296768
268	0.1630515785
269	0.1622628218
270	0.161795324
271	0.1612826958
272	0.1608460115
273	0.1599679737
274	0.1588526055
275	0.1582965318
276	0.1576002528
277	0.1572240762
278	0.1565425658
279	0.1558368248
280	0.155399327
281	0.1550663637
282	0.1548223776
283	0.1539268872
284	0.15301548
285	0.1523872615
286	0.1515388887
287	0.151031156
288	0.1501341931
289	0.1493142384
290	0.1484931322
291	0.1482153833
292	0.1481175419
293	0.1477084185
294	0.1469894343
295	0.1458607065
296	0.1452006913
297	0.1449418159
298	0.1444311316
299	0.1437265889
300	0.1432360843
301	0.1426035512
302	0.1420582109
303	0.1414830939
304	0.1412610521
305	0.140645498
306	0.1400343418
307	0.1393099145
308	0.138682355
309	0.1384055565
310	0.1379745325
311	0.1373305357
312	0.1370155739
313	0.1366338748
314	0.1363631828
315	0.1358396931
316	0.1354366972
317	0.1350211738
318	0.1344287161
319	0.1339866976
320	0.133720996
321	0.1332481873
322	0.1327043408
323	0.1321708601
324	0.1319716441
325	0.1316361596
326	0.1311153427
327	0.1308413494
328	0.1300614018
329	0.1296323395
330	0.1293968969
331	0.1287887366
332	0.128007711
333	0.1267921633
334	0.1265422318
335	0.1260376392
336	0.1258055388
337	0.1253075656
338	0.1244669634
339	0.1240338627
340	0.1233949306
341	0.1225835598
342	0.1222390592
343	0.1218559706
344	0.1215713575
345	0.1211604586
346	0.1205837385
347	0.120161521
348	0.1197226766
349	0.1194285217
350	0.1192686825
351	0.1191758237
352	0.1187952734
353	0.1184764552
354	0.1180473119
355	0.1177056445
356	0.1175494068
357	0.1169725457
358	0.1166814664
359	0.1161995484
360	0.1160795969
361	0.1159127704
362	0.1155075276
363	0.1151187149
364	0.1149782516
365	0.1145835973
366	0.113933155
367	0.1136120859
368	0.1131224228
369	0.1127254608
370	0.1124038427
371	0.1119675911
372	0.1117036988
373	0.1114979484
374	0.1113647999
375	0.1109753103
376	0.1105491006
377	0.1102981696
378	0.1099538682
379	0.109726562
380	0.1096274537
381	0.1093607738
382	0.1090427579
383	0.1085119396
384	0.1083400782
385	0.1081851842
386	0.1077877506
387	0.1074888195
388	0.107276103
389	0.1071417754
390	0.1067484362
391	0.1064011909
392	0.1060391579
393	0.1057938604
394	0.105372514
395	0.1048223357
396	0.1046068296
397	0.1042988766
398	0.1042151723
399	0.1041415675
400	0.1037513538
401	0.1034978398
402	0.1031081773
403	0.1022873666
404	0.1016506566
405	0.101419361
406	0.1013434776
407	0.1011445368
408	0.101009759
409	0.1008090875
410	0.1007201776
411	0.1004676873
412	0.1003047662
413	0.09950132937
414	0.09928993997
415	0.09909904813
416	0.09893995585
417	0.09876723869
418	0.0985377657
419	0.09837918384
420	0.09828961455
421	0.09797384359
422	0.09770093576
423	0.09728581483
424	0.09703032606
425	0.09673285619
426	0.0964388268
427	0.09625275221
428	0.09623591982
429	0.095983687
430	0.0955619173
431	0.09534025618
432	0.0951171772
433	0.09503023852
434	0.09503018361
435	0.09478029333
436	0.09459418634
437	0.09442151418
438	0.09429946943
439	0.09406992754
440	0.09387426542
441	0.09355788381
442	0.09347100177
443	0.09324369295
444	0.09300718776
445	0.09291966691
446	0.09271274557
447	0.09237333513
448	0.09193332599
449	0.09161579468
450	0.09146218075
451	0.09137485294
452	0.09123812849
453	0.09091715945
454	0.09045026361
455	0.09025210995
456	0.09024749554
457	0.09023437903
458	0.09022435924
459	0.08994222249
460	0.08974767951
461	0.08917249672
462	0.08892849378
463	0.0887216104
464	0.08831774747
465	0.08809851537
466	0.08780167771
467	0.08769048213
468	0.08746069349
469	0.08745205382
470	0.08717617789
471	0.08702103007
472	0.08664713148
473	0.08648504561
474	0.08646682294
475	0.08636358567
476	0.08617590453
477	0.08605546274
478	0.08583619857
479	0.08545647588
480	0.08517822074
481	0.08493909628
482	0.08481330024
483	0.08480347948
484	0.08478727325
485	0.08455724867
486	0.08437021284
487	0.08436432859
488	0.08418903616
489	0.08392311957
490	0.08383681831
491	0.08358310916
492	0.08341097257
493	0.08329851709
494	0.08323778645
495	0.08292177431
496	0.08291627796
497	0.08275131352
498	0.08255211032
499	0.08222399189
500	0.08200725869
501	0.08184605466
502	0.08179863465
503	0.08175573047
504	0.08155036796
505	0.08129751343
506	0.08109829023
507	0.08072853791
508	0.08041284398
509	0.08016993272
510	0.08009257482
511	0.07993476114
512	0.07963818796
513	0.07932942857
514	0.07911963461
515	0.07886558579
516	0.07874438793
517	0.07848645772
518	0.07842717482
519	0.07833081994
520	0.07820796347
521	0.07805955788
522	0.07796198808
523	0.07777856976
524	0.07743554167
525	0.07727762297
526	0.07709375253
527	0.07693417779
528	0.07674779024
529	0.07654748208
530	0.07637451055
531	0.07624076482
532	0.07609951437
533	0.07603188631
534	0.07574015778
535	0.07555671005
536	0.07541888811
537	0.0753365623
538	0.07519456941
539	0.07516557012
540	0.07496704716
541	0.07489831533
542	0.07469147749
543	0.07432593128
544	0.07417002643
545	0.07401845567
546	0.07387047576
547	0.07378898248
548	0.0737171199
549	0.07354285991
550	0.07345741244
551	0.07335178588
552	0.0731754645
553	0.07305900688
554	0.0729223628
555	0.07284642206
556	0.07263518536
557	0.07237960319
558	0.07211010356
559	0.07194752526
560	0.07172889367
561	0.07127394979
562	0.07119722217
563	0.07099594646
564	0.0707949238
565	0.07072499643
566	0.07049044933
567	0.07027000888
568	0.07007748624
569	0.06998241412
570	0.06972640788
571	0.06949755351
572	0.06927202154
573	0.06911780677
574	0.06883911316
575	0.06861384898
576	0.0684579136
577	0.06822074952
578	0.06781394029
579	0.0677069547
580	0.06758935422
581	0.06738977884
582	0.06721554837
583	0.06705643598
584	0.0668385023
585	0.06657755836
586	0.06652049238
587	0.06641530947
588	0.06638070242
589	0.06613822621
590	0.06592102298
591	0.06588602058
592	0.06576745709
593	0.06567061241
594	0.06557685246
595	0.06539253862
596	0.06534255111
597	0.06517881001
598	0.06495660091
599	0.06484649226
600	0.06477638482
601	0.06462554083
602	0.06442356656
603	0.06432758391
604	0.06419122427
605	0.06411133076
606	0.06384587129
607	0.06376899374
608	0.06365867054
609	0.06348488689
610	0.06341699582
611	0.06333191748
612	0.06324229044
613	0.06310170684
614	0.06292378858
615	0.06279428523
616	0.0625432589
617	0.06234797331
618	0.06219079349
619	0.06201486331
620	0.0618768321
621	0.06169292803
622	0.06153714057
623	0.06150316402
624	0.06139715616
625	0.06136319834
626	0.06128815107
627	0.06108872794
628	0.06100149829
629	0.0609167066
630	0.0607819321
631	0.06072478655
632	0.06060793795
633	0.06051221193
634	0.06040767021
635	0.06026538154
636	0.06021422143
637	0.05999965726
638	0.05978953608
639	0.05962045143
640	0.05947578338
641	0.05946281648
642	0.05932227614
643	0.05925650053
644	0.05903563424
645	0.05882538984
646	0.05876872357
647	0.05873026359
648	0.05867707714
649	0.05854028012
650	0.05832503883
651	0.05816536162
652	0.0580430314
653	0.05786936762
654	0.05772298707
655	0.05754833068
656	0.05734987221
657	0.05716856723
658	0.05705887928
659	0.05694829933
660	0.05684664609
661	0.05676652255
662	0.05660209845
663	0.05651238398
664	0.05646106155
665	0.05630423417
666	0.05617633556
667	0.05605594141
668	0.055932553
669	0.05579503866
670	0.05569104362
671	0.0555655131
672	0.05545799903
673	0.05535903601
674	0.05531664667
675	0.05519757908
676	0.05499800582
677	0.0548905444
678	0.0548073134
679	0.05473416417
680	0.05459525439
681	0.05437612612
682	0.05428863192
683	0.0540892731
684	0.05404500387
685	0.05402097985
686	0.05396934869
687	0.05386099539
688	0.05377441036
689	0.05366634561
690	0.05357325666
691	0.05345483422
692	0.05329956525
693	0.0531925509
694	0.05311066397
695	0.05302814136
696	0.05286924965
697	0.05279441733
698	0.05270086248
699	0.0526309527
700	0.05247803404
701	0.05239024615
702	0.05226973665
703	0.05217845996
704	0.05205045207
705	0.05198096501
706	0.05179294527
707	0.05165716276
708	0.0515217266
709	0.05140638452
710	0.05135732842
711	0.05125589187
712	0.05109698145
713	0.05102355544
714	0.05093977922
715	0.05084494462
716	0.05071111425
717	0.05063616607
718	0.0505105389
719	0.05047420153
720	0.05038007362
721	0.05018932262
722	0.05012948962
723	0.05005119863
724	0.04991704065
725	0.04986500368
726	0.04978247595
727	0.04969218682
728	0.04960658451
729	0.04954799296
730	0.04945194425
731	0.04931447698
732	0.04917121713
733	0.04909405569
734	0.04891536014
735	0.04884952975
736	0.04878438357
737	0.04868470767
738	0.04861822019
739	0.04847704049
740	0.04841046224
741	0.04834233864
742	0.04825713569
743	0.0480724221
744	0.04797512348
745	0.04781246374
746	0.04770091268
747	0.04762861271
748	0.04749649294
749	0.0474150244
750	0.04726562765
751	0.04720957809
752	0.04710120464
753	0.04698964916
754	0.04696290677
755	0.0469341373
756	0.04692955345
757	0.0468787461
758	0.04681807791
759	0.0467101723
760	0.04658053341
761	0.04649396235
762	0.04643906872
763	0.04638217469
764	0.04625862615
765	0.04618980027
766	0.04612879991
767	0.04603924973
768	0.04588195377
769	0.04575181264
770	0.04571887026
771	0.0455483507
772	0.04547339374
773	0.045401413
774	0.04536156816
775	0.04528151802
776	0.0451479942
777	0.04503350305
778	0.04495877287
779	0.04492938336
780	0.04484729399
781	0.04476631421
782	0.04471348364
783	0.04468862938
784	0.04460841794
785	0.0445371635
786	0.04445519073
787	0.04434550484
788	0.04423493964
789	0.04415982219
790	0.04409673853
791	0.04405190959
792	0.0440085494
793	0.04391605158
794	0.04389187251
795	0.04383145524
796	0.04365389855
797	0.0435616508
798	0.04350032724
799	0.04336157964
800	0.04329306125
801	0.04321877125
802	0.04313004956
803	0.04305991787
804	0.04300817244
805	0.04296531485
806	0.04295555173
807	0.04286256426
808	0.04276260719
809	0.04269656752
810	0.04262737618
811	0.04256683441
812	0.04245368099
813	0.04232721619
814	0.04226080961
815	0.04216635664
816	0.04200600817
817	0.04194666062
818	0.04185933658
819	0.04175311129
820	0.04166917817
821	0.04157992109
822	0.04145179476
823	0.04138042258
824	0.04127283597
825	0.04122393718
826	0.04117165281
827	0.0410269999
828	0.04096477385
829	0.04094918201
830	0.04092611478
831	0.04089750496
832	0.04083825107
833	0.04078930577
834	0.04075324689
835	0.04071424942
836	0.04062898415
837	0.04058213466
838	0.04045310357
839	0.04040552314
840	0.04028336199
841	0.04016789075
842	0.04015407038
843	0.04009771839
844	0.03995857152
845	0.0399166574
846	0.03987090419
847	0.03979534946
848	0.03973521045
849	0.03972236948
850	0.03964382332
851	0.03958050746
852	0.03943273449
853	0.0393782335
854	0.0393240059
855	0.03925599561
856	0.03920711491
857	0.03910180834
858	0.03899914439
859	0.03895932034
860	0.0388983246
861	0.03884267468
862	0.03878528648
863	0.03872949066
864	0.03864509496
865	0.03858844041
866	0.03850479623
867	0.03843574381
868	0.03837672825
869	0.0383254901
870	0.03823649739
871	0.03820453727
872	0.03816039346
873	0.03808918567
874	0.03804485029
875	0.03795913078
876	0.03791221639
877	0.03785526152
878	0.03776360218
879	0.03768505925
880	0.03763974746
881	0.03756305072
882	0.03746129266
883	0.03739539123
884	0.03731060333
885	0.03723260465
886	0.0371291407
887	0.03702439212
888	0.03690238512
889	0.03685261682
890	0.03681894154
891	0.03675996958
892	0.03669750496
893	0.03663150467
894	0.03658113963
895	0.03653309794
896	0.03643496745
897	0.03636569833
898	0.03631259319
899	0.0362694506
900	0.03621141471
901	0.03615947778
902	0.03611399564
903	0.03606342188
904	0.03595412358
905	0.03588041913
906	0.03585362688
907	0.03582308224
908	0.03578118461
909	0.03573970489
910	0.03568309294
911	0.03555489712
912	0.03546304037
913	0.03539687878
914	0.03533378707
915	0.03526926421
916	0.03522812721
917	0.03518152724
918	0.03506491731
919	0.03502604503
920	0.03495973139
921	0.03492053024
922	0.03485979403
923	0.03479127558
924	0.03474453126
925	0.03470067473
926	0.03465457464
927	0.03457971634
928	0.03453743122
929	0.0344779928
930	0.03444510574
931	0.034348113
932	0.03432278502
933	0.03423370324
934	0.03418298137
935	0.03413481815
