iter	Passed	Remaining
0	78	77960
1	146	73283
2	219	72822
3	290	72449
4	368	73335
5	440	72940
6	517	73446
7	587	72820
8	622	68526
9	686	67992
10	764	68731
11	825	67980
12	883	67074
13	954	67207
14	1015	66674
15	1062	65313
16	1109	64148
17	1136	61991
18	1213	62680
19	1274	62464
20	1352	63058
21	1420	63167
22	1483	63003
23	1542	62721
24	1604	62586
25	1671	62635
26	1749	63064
27	1802	62578
28	1872	62707
29	1936	62603
30	1992	62283
31	2047	61943
32	2102	61607
33	2164	61501
34	2231	61520
35	2305	61723
36	2369	61682
37	2435	61657
38	2499	61590
39	2551	61241
40	2610	61051
41	2678	61099
42	2730	60767
43	2787	60570
44	2843	60339
45	2899	60127
46	2967	60161
47	3044	60376
48	3133	60814
49	3192	60652
50	3261	60685
51	3339	60885
52	3390	60583
53	3461	60643
54	3532	60691
55	3596	60619
56	3675	60810
57	3729	60572
58	3781	60303
59	3836	60100
60	3888	59857
61	3939	59606
62	3990	59354
63	4045	59172
64	4099	58976
65	4152	58762
66	4201	58511
67	4266	58471
68	4349	58681
69	4424	58781
70	4482	58654
71	4542	58546
72	4608	58517
73	4670	58445
74	4734	58396
75	4801	58378
76	4864	58306
77	4932	58304
78	4993	58215
79	5061	58205
80	5122	58116
81	5177	57964
82	5226	57742
83	5278	57558
84	5328	57357
85	5383	57212
86	5447	57172
87	5515	57163
88	5586	57181
89	5652	57151
90	5725	57194
91	5803	57278
92	5877	57318
93	5952	57376
94	6020	57350
95	6082	57278
96	6143	57191
97	6205	57116
98	6268	57049
99	6345	57106
100	6413	57086
101	6485	57094
102	6554	57083
103	6618	57019
104	6685	56985
105	6753	56959
106	6816	56893
107	6887	56881
108	6956	56866
109	7021	56812
110	7091	56798
111	7155	56733
112	7217	56651
113	7284	56614
114	7346	56535
115	7405	56437
116	7480	56456
117	7544	56394
118	7603	56294
119	7674	56280
120	7737	56209
121	7816	56253
122	7886	56228
123	7954	56191
124	8036	56258
125	8125	56361
126	8216	56478
127	8288	56467
128	8380	56585
129	8466	56660
130	8557	56764
131	8732	57424
132	8828	57550
133	8918	57640
134	9008	57717
135	9129	58000
136	9240	58211
137	9350	58408
138	9428	58402
139	9542	58619
140	9687	59020
141	9858	59570
142	9936	59549
143	10022	59580
144	10092	59510
145	10139	59309
146	10186	59110
147	10268	59113
148	10352	59124
149	10410	58993
150	10472	58884
151	10542	58816
152	10615	58764
153	10684	58692
154	10772	58727
155	10855	58731
156	10924	58655
157	11007	58658
158	11076	58589
159	11156	58569
160	11231	58531
161	11305	58483
162	11379	58435
163	11454	58388
164	11526	58330
165	11590	58233
166	11661	58167
167	11747	58175
168	11827	58159
169	11904	58124
170	11993	58142
171	12067	58090
172	12101	57847
173	12168	57764
174	12235	57683
175	12303	57603
176	12379	57559
177	12447	57483
178	12530	57473
179	12597	57389
180	12670	57332
181	12745	57283
182	12803	57159
183	12869	57072
184	12935	56985
185	13006	56922
186	13080	56869
187	13152	56807
188	13208	56679
189	13272	56582
190	13339	56499
191	13403	56407
192	13452	56248
193	13509	56126
194	13576	56045
195	13646	55979
196	13704	55862
197	13766	55762
198	13829	55664
199	13898	55595
200	13973	55544
201	14051	55508
202	14127	55464
203	14183	55343
204	14235	55206
205	14304	55136
206	14370	55050
207	14436	54969
208	14488	54834
209	14553	54747
210	14619	54667
211	14680	54566
212	14750	54502
213	14817	54421
214	14885	54348
215	14951	54266
216	15016	54183
217	15090	54132
218	15165	54083
